Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,CO2 Forcing.Atmos CO2 exogenous
2190,245.09911632978174,230.9593618021223,0.040814862929602146,90.37531673571218,263.41680211439314,7455.659270984112,27.20051885777987,4.034010627403064,48.45059596889855,403.5750020345052
2191,244.20376622853274,227.8568740825312,0.04037424225722931,90.02176088941037,262.4183673779372,7445.644179482921,27.04463610408141,3.9891624376077166,48.29665752080293,403.5529963175456
2192,243.30750277898667,224.76648506189076,0.03993819205943775,89.66820504310856,261.4199326414811,7435.629087981729,26.88875335038295,3.944314247812369,48.14271907270731,403.5320002237956
2193,242.4103186487332,221.68799689340517,0.03950665613977394,89.31464919680676,260.42149790502515,7425.613996480537,26.732870596684485,3.899466058017021,47.98878062461169,403.5049997965495
2194,241.5122067116189,218.62121555658098,0.03907957910264621,88.96109335050495,259.4230631685692,7415.598904979346,26.576987842986025,3.854617868221674,47.83484217651608,403.473996480306
2195,240.6131600414416,215.5659507704163,0.03865690633949375,88.60753750420315,258.4246284321132,7405.583813478155,26.421105089287565,3.8097696784263264,47.68090372842046,403.43800099690753
2196,239.71317190580282,212.52201590888188,0.03823858401526212,88.25398165790133,257.4261936956572,7395.568721976963,26.265222335589105,3.764921488630979,47.52696528032484,403.3989995320638
2197,238.81223576019977,209.48922791862262,0.037824559055175525,87.90042581159953,256.4277589592012,7385.553630475772,26.109339581890644,3.720073298835632,47.37302683222922,403.35599517822266
2198,237.9103452422931,206.46740723881203,0.037414779131797145,87.54686996529773,255.4293242227452,7375.538538974581,25.95345682819218,3.675225109040284,47.219088384133606,403.30999755859375
2199,237.00749416633775,203.4563777230928,0.037009192652368454,87.19331411899591,254.4308894862892,7365.52344747339,25.79757407449372,3.630376919244936,47.06514993603798,403.26199595133465
2200,236.10367651781826,200.45596656354084,0.0366077487464194,86.83975827269411,253.4324547498332,7355.508355972198,25.64169132079526,3.585528729449589,46.91121148794237,403.2109959920247
2201,235.1988864482245,197.46600421659082,0.03621039725364182,86.48620242639231,252.4340200133772,7345.493264471006,25.4858085670968,3.5406805396542413,46.75727303984675,403.15800221761066
2202,234.29311827002203,194.48632433086493,0.035817088712017914,86.1326465800905,251.4355852769212,7335.478172969814,25.32992581339834,3.495832349858893,46.603334591751135,403.1030019124349
2203,233.38636645176413,191.5167636768486,0.035427774346196955,85.77909073378869,250.4371505404652,7325.463081468623,25.17404305969988,3.450984160063546,46.44939614365551,403.0460001627605
2204,232.47862561335145,188.55716207835704,0.03504240605611327,85.42553488748689,249.4387158040092,7315.447989967432,25.018160306001416,3.4061359702681986,46.2954576955599,402.98800404866535
2205,231.56989052145977,185.60736234574057,0.034660936405838484,85.07197904118507,248.4402810675532,7305.43289846624,24.86227755230296,3.3612877804728507,46.14151924746428,402.9280064900716
