Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2137,1065.0569047987283,436.1587225795198,0.07320395718809085,344.4103987772313,10910.47827490484,62.43463322227277,23.720482808870347,100.860165823606,378.3869806925456,1538.1097412109375
2138,1060.1644838862962,431.8426505954889,0.07240692596915323,343.31550945052595,10813.925369817189,62.02226855133742,23.528539265936782,100.3239878602831,378.38698323567706,1533.6397501627605
2139,1055.2233693837009,427.55824533154276,0.07161914350269398,342.22062012382054,10717.372464729531,61.60990388040207,23.33659572300322,99.7878098969602,378.3849843343099,1529.1497599283855
2140,1050.2347313463636,423.30487375088046,0.07084047518085033,341.1257307971151,10620.81955964188,61.197539209466726,23.14465218006966,99.25163193363731,378.38097890218097,1524.6697285970051
2141,1045.1997090956327,419.08191865482263,0.07007078912338575,340.0308414704097,10524.266654554223,60.78517453853138,22.952708637136094,98.71545397031444,378.3759841918945,1520.1697285970051
2142,1040.1194119658826,414.8887781634945,0.06930995608388697,338.9359521437044,10427.713749466571,60.37280986759603,22.760765094202537,98.17927600699151,378.3699798583984,1515.6697387695312
2143,1034.99492004555,410.72486522012923,0.06855784936136333,337.84106281699894,10331.16084437892,59.96044519666068,22.56882155126897,97.64309804366864,378.36198170979816,1511.1697387695312
2144,1029.827284910146,406.58960711751894,0.0678143447168368,336.7461734902936,10234.607939291263,59.54808052572533,22.376878008335414,97.10692008034574,378.3529841105144,1506.6597290039062
2145,1024.617530346043,402.4824450452581,0.06707932029454693,335.6512841635882,10138.055034203611,59.13571585478999,22.18493446540185,96.57074211702286,378.34198506673175,1502.1497395833333
2146,1019.3666530636057,398.40283365652414,0.0663526565474258,334.5563948368828,10041.502129115956,58.72335118385464,21.992990922468287,96.03456415369998,378.3299814860026,1497.6397298177085
