Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine
2198,0.0312713165056324,0.0,0.03968222336601613,216.93169176482468
2199,0.0237595702647238,0.0,0.03924951513148724,213.73609556275707
2200,0.0091907600656787,0.0,0.03882116515331776,210.551257605171
2201,-0.0162617882273594,0.0,0.03839712065960563,207.37700611490087
2202,-0.0266474188459242,0.0,0.037977329613095544,204.2131725490231
2203,-0.0349953137517517,0.0,0.03756174069895062,201.05959152760553
2204,-0.0488183131769354,0.0,0.03715030331277766,197.91610076427057
2205,-0.0538841185328743,0.0,0.0367429675488991,194.78254099852117
2206,-0.0599433433696799,0.0,0.03633968418886487,191.6587559297764
2207,-0.0538547124969195,0.0,0.03594040469019779,188.5445921530667
2208,-0.0355268697055106,0.0,0.03554508117536607,185.43989909634178
2209,-0.0151470515647667,0.0,0.03515366642097715,182.34452895934348
2210,0.000228415780563,0.0,0.03476611384718697,179.25833665399932
2211,0.0003517245214773,0.0,0.034382377507319005,176.18117974629297
2212,-0.0016096613935214,0.0,0.03400241207768808,173.1129183995701
2213,-0.0170817806690261,0.0,0.03362617284762332,170.05341531923844
2214,-0.0257012112528224,0.0,0.0332536157096856,167.00253569882307
2215,-0.0487336598829438,0.0,0.03288469715007453,163.96014716733936
2216,-0.0618615965081449,0.0,0.03251937423922037,160.92611973794592
2217,-0.0630085379464161,0.0,0.03215760462255629,157.90032575784298
2218,-0.0606384883825214,0.0,0.0317993465114668,154.88263985938082
2219,-0.0428072751039392,0.0,0.031444558674407944,151.8729389123458
2220,-0.0151986242361099,0.0,0.031093200428195304,148.8711019773913
2221,0.0054723924634681,0.0,0.030745231629455843,145.877010260582
2222,0.0354042322804646,0.0,0.0304006126662398,142.89054706902186
2223,0.0225576840275711,0.0,0.030059304449788854,139.9115977675361
2224,0.0001418666866663,0.0,0.029721268406456974,136.94004973637877
2225,-0.0191627706090897,0.0,0.02938646646978062,133.97579232993814
2226,-0.0428240297058316,0.0,0.02905486107269469,131.01871683641403
2227,-0.0488625249969195,0.0,0.028726415139891083,128.0687164384398
2228,-0.0586677814706849,0.0,0.028401092080316697,125.12568617462524
2229,-0.0481769113009646,0.0,0.028078855779807604,122.18952290199515
2230,-0.0230665928479554,0.0,0.02775967059385668,119.2601252593003
2231,-0.0063842238143617,0.0,0.027443501340511402,116.33739363117752
2232,-0.0023890086975583,0.0,0.02713031329339934,113.42123011313754
2233,0.00720080916135,0.0,0.026820072174878327,110.51153847735775
2234,-0.0047517186639855,0.0,0.026512744149308685,107.60822413925962
2235,-0.0153114347251024,0.0,0.026208295816444904,104.71119412485085
2236,-0.0387799328698839,0.0,0.025906694204944323,101.82035703881152
2237,-0.0481178855223999,0.0,0.025607906765990087,98.93562303330577
2238,-0.054094021211092,0.0,0.02531190136702623,96.05690377749997
2239,-0.0527041585987194,0.0,0.02501864628560239,93.18411242776997
2240,-0.040071456787672,0.0,0.02472811020332586,90.31716359857911
2241,-0.0093074316883953,0.0,0.02444026219991884,87.45597333400988
2242,0.0181981964553373,0.0,0.0241550717473786,84.60045907993386
2243,0.0218242000405283,0.0,0.023872508704238505,81.75053965680213
2244,0.0181087546141006,0.0,0.023592543309927817,78.90613523304194
2245,-0.0024274450659531,0.0,0.023315146179228276,76.0671672990435
