Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous,Forest.cutting exogenous,Crop.crop production exogenous
2028,25283.580876660664,266.2031672931952,45.074553178053264,8856.28423778182,1592.0122867511368,484.7056752248871,0.0,1.2968638549804687,2.2032397338867185,2.484184988403321,0.6363712639689446,0.0,0.0,0.4355499369105324,0.0,1.1497394032776356,5.178639037038614
2029,23879.262365030285,254.61509386676653,40.76522766126128,8625.021664358284,1550.4403533679138,439.9008635506608,0.0,1.2368766357421848,2.175215148925781,2.544253573608397,0.6361949048161507,0.0,0.0,0.4356307161668316,0.0,1.1497167460620403,5.27266740202849
2030,22474.943853399905,243.02702044033788,36.4559021444693,8393.75909093475,1508.8684199846907,394.0485078524156,0.0,2.960140393066407,2.037242723083496,8.37310596046448,0.5914087420463563,0.0,0.0,0.4025402033537626,0.0,1.1505862213671207,5.366695767018365
2031,21136.593503318585,238.7856045894419,35.172571842365606,8392.040548248937,1508.5594934645312,347.1666985798758,0.0,2.9433585693359348,2.019536869812012,8.392898929405215,0.5886523118972777,0.0,0.0,0.4055533558666706,0.0,1.1511409245431423,5.469859955442509
2032,19798.243153237265,234.5441887385459,33.88924154026192,8390.322005563123,1508.250566944372,346.4763832216726,0.0,2.8390679809570294,1.995173403930664,8.499202399253846,0.5874824226379395,0.0,0.0,0.4075661182999611,0.0,1.1512548048049212,5.573024143866652
2033,18459.892803155944,230.30277288764992,32.60591123815823,8388.60346287731,1507.9416404242124,344.157738258113,0.0,2.6602114624023443,1.9783895019531248,8.680320198822022,0.5854032516479493,0.0,0.0,0.4098266964197159,0.0,1.1525421030819416,5.676188332290796
2034,17121.542453074624,226.06135703675392,31.32258093605454,8386.884920191496,1507.632713904053,340.88179229757344,0.0,2.684343762207032,1.9214223297119144,8.657846590805057,0.5838363998413086,0.0,0.0,0.4114852187275887,0.0,1.1532787308096886,5.779352520714938
2035,15783.192102993302,221.81994118585797,30.03925063395085,8385.166377505684,1507.3237873838934,337.015773329584,0.0,1.6569553405761717,1.6083436096191406,2.966895507049559,0.5807553526163102,0.0,0.0,0.4142833524823189,0.0,1.1545920483767986,5.8825167091390815
2036,14444.84175291198,217.578525334962,28.75592033184716,8383.447834819872,1507.0148608637342,332.7631475039012,0.0,1.764683941650393,1.5904204040527343,2.861228566741941,0.579818415427208,0.0,0.0,0.4163433372855187,0.0,1.154055666178465,5.985680897563226
2037,13106.49140283066,213.337109484066,27.47259002974347,8381.729292134058,1506.7059343435749,328.2387566342782,0.0,1.763757000732422,1.59367255859375,2.864301076507568,0.578697877240181,0.0,0.0,0.4184897715985775,0.0,1.1532612964510918,6.088845085987368
